ASIN,MAT_Code_1
B09P51,6010009
B088JT,6010039
B0CZ8V,6010042
B091DC,7010024
B07TBP,7010010
B0BSXL,3010034
B07DSR,3010595
B07DSC,3010095
B07XVV,3010523
B01N6R,6010074
B00FJ2,7010007
B09MDJ,3010061
B09P8S,3010251
B01L2C,3010054
B0BBM8,3010353
B077VH,PCVIR00009
B09P82,3010099
B01LXO,3010440
B01LX1,3010103
B09P89,KESCOM00357
B009FZ,VIRSK00129
B08B56,VIRSK00128
B00809,KESCOM00167
B0CZ92,PCCOM00199
B0CLYC,KESCOM00189
B07XBC,PCCVIR00092
B004L9,KESMCH000005
B0BBMQ,KESCH000006
B0BW2Q,GGC000000102
B07XBB,GGVIRCOM106
B01HTW,GGCH000008
B0CZ9B,2010007
B0CG16,3010502
B0BBMH,6010029
B07DLZ,3010249
B004HA,3010412
B0BQBP,3010268
B084HC,3010246
B085JN,3010152
B07WZT,KESCOM00241
B08B55,6010043
B0CZ91,3010451
B07QBB,3010077
B0CZ8Z,3010073
B0BW2D,3010084
