Source_SKU_ID,MAT_Code_5
401954,3010034
402425,6010009
402345,6010042
402411,7010010
402834,6010039
402097,7010024
402101,3010595
402566,3010095
402279,3010523
401462,6010074
402781,7010007
402240,3010061
402872,3010251
402558,3010054
401474,3010353
402683,PCVIR00009
402196,3010099
402439,3010440
401942,3010103
402941,KESCOM00357
402293,VIRSK00129
401994,VIRSK00128
401566,KESCOM00167
402709,PCCOM00199
402859,KESCOM00189
401752,PCCVIR00092
402923,KESMCH000005
402050,KESCH000006
402773,GGC000000102
402073,GGVIRCOM106
402554,GGCH000008
402495,2010007
401851,3010502
401669,6010029
402067,3010249
402837,3010412
402135,3010268
402687,3010246
402347,3010152
402158,KESCOM00241
401552,6010043
402928,3010451
401722,3010077
402154,3010073
402636,3010084
