Style_ID ,MAT_Code_4
227470,6010009
206522,6010039
248493,6010042
890948,7010024
285467,7010010
167283,3010034
142163,3010595
911368,3010095
910605,3010523
285131,6010074
285469,7010007
257282,3010061
151120,3010251
105589,3010054
910601,3010353
151134,PCVIR00009
237413,3010099
105832,3010440
109736,3010103
920249,KESCOM00357
248540,VIRSK00129
805971,VIRSK00128
285197,KESCOM00167
248546,PCCOM00199
151118,KESCOM00189
910604,PCCVIR00092
108750,KESMCH000005
103672,KESCH000006
151133,GGC000000102
798802,GGVIRCOM106
134301,GGCH000008
286478,2010007
248539,3010502
805972,6010029
724963,3010249
285219,3010412
911369,3010268
285465,3010246
